Local time,open,high,low,close,volume
20.04.2004 00:00:00.000 GMT+0300,1.20245,1.20245,1.18408,1.18677,1137241.998
21.04.2004 00:00:00.000 GMT+0300,1.18691,1.19121,1.18154,1.18407,1140244.111
22.04.2004 00:00:00.000 GMT+0300,1.18411,1.19143,1.17774,1.19032,1123185.594
23.04.2004 00:00:00.000 GMT+0300,1.19055,1.19416,1.17954,1.18445,1125948.899
26.04.2004 00:00:00.000 GMT+0300,1.18247,1.1885,1.17583,1.18674,1136635.094
27.04.2004 00:00:00.000 GMT+0300,1.18676,1.19467,1.18316,1.19253,1127432.908
28.04.2004 00:00:00.000 GMT+0300,1.19263,1.19506,1.18216,1.18423,1128572.006
29.04.2004 00:00:00.000 GMT+0300,1.18392,1.19849,1.18042,1.19628,1125179.699
30.04.2004 00:00:00.000 GMT+0300,1.19627,1.20106,1.19195,1.198,1136787.902
01.05.2004 00:00:00.000 GMT+0300,1.198,1.19853,1.198,1.19853,0
03.05.2004 00:00:00.000 GMT+0300,1.1984,1.2002,1.19199,1.19434,1119926.502
04.05.2004 00:00:00.000 GMT+0300,1.19498,1.21183,1.19243,1.20992,1133260.604
05.05.2004 00:00:00.000 GMT+0300,1.2099,1.21796,1.20944,1.2174,1125738.297
06.05.2004 00:00:00.000 GMT+0300,1.21783,1.21783,1.20635,1.20825,1137839.606
07.05.2004 00:00:00.000 GMT+0300,1.2087,1.21333,1.18765,1.18812,1127712.002
10.05.2004 00:00:00.000 GMT+0300,1.18718,1.18953,1.18117,1.18478,1135379.203
11.05.2004 00:00:00.000 GMT+0300,1.18547,1.18896,1.17885,1.18708,1132338.789
12.05.2004 00:00:00.000 GMT+0300,1.18731,1.19415,1.1834,1.18992,1139320.299
13.05.2004 00:00:00.000 GMT+0300,1.19,1.19313,1.17718,1.18227,1135471.102
14.05.2004 00:00:00.000 GMT+0300,1.18203,1.19022,1.17819,1.18855,1139879.701
17.05.2004 00:00:00.000 GMT+0300,1.18902,1.20589,1.18768,1.20271,1126667.793
18.05.2004 00:00:00.000 GMT+0300,1.20288,1.20388,1.19287,1.19523,1143742.201
19.05.2004 00:00:00.000 GMT+0300,1.1953,1.20419,1.19356,1.20101,1133791.592
20.05.2004 00:00:00.000 GMT+0300,1.20122,1.20196,1.18955,1.19652,1132351.096
21.05.2004 00:00:00.000 GMT+0300,1.19647,1.20694,1.1952,1.19831,1129431.898
